,objectid,x,y,date_updte,address,city,state,zipcode,fac_name,fac_type,ferry_t,ferry_i,bus_t,bus_i,bus_code_s,bus_supp,rail_i,rail_c,rail_h,rail_light,air_serve,bike_share,bike_sys,i_service,t_service,modes_serv,mode_bus,mode_air,mode_rail,mode_ferry,mode_bike
573,2843,-87.619,41.8167,04/16/16,314 E 43rd St,Chicago,IL,60653,43rd Green Line Station,9,0,3,1.0,0,0,0,0,0,1,0,0,1,,0,1,3,1,0,1,0,1
574,2844,-87.6341,41.8886,04/16/16,350 N Wells St,Chicago,IL,60654,Merchadise Mart Brown and Purple Lines Station,9,2,3,1.0,0,0,0,0,0,1,0,0,1,,0,1,3,1,0,1,0,1
575,2845,-87.807,41.9814,04/16/16,5550 N Harlem Ave,Chicago,IL,60656,Harlem Blue Line Station,9,0,3,1.0,0,0,0,0,0,1,0,0,0,,0,1,2,1,0,1,0,0
576,2846,-87.6532,41.9398,04/16/16,945 W Belmont Ave,Chicago,IL,60657,Belmont Brown and Purple and Red Line Stations,9,0,3,1.0,0,0,0,0,0,1,0,0,1,,0,1,3,1,0,1,0,1
577,2847,-87.6532,41.9329,04/16/16,943 W Diversey Ave,Chicago,IL,60657,Diversey Brown and Purple Lines Station,9,0,3,1.0,0,0,0,0,0,1,0,0,1,,0,1,3,1,0,1,0,1
578,2848,-87.6532,41.9362,04/16/16,945 W Wellington Ave,Chicago,IL,60657,Wellington Brown and Purple Lines Station,9,0,3,0.0,0,0,0,0,0,1,0,0,1,,0,1,2,0,0,1,0,1
579,2849,-87.6638,41.9438,05/30/16,3411 N Southport Ave,Chicago,IL,60657,Southport Brown Line Station,9,0,3,0.0,0,0,0,0,0,1,0,0,1,,0,1,2,0,0,1,0,1
580,2850,-87.6714,41.9435,05/30/16,3410 N Lincoln Ave,Chicago,IL,60657,Paulina Brown Line Station,9,0,3,1.0,0,0,0,0,0,1,0,0,1,,0,1,3,1,0,1,0,1
581,2851,-87.6591,41.9945,04/16/16,1119 W Granville Ave,Chicago,IL,60660,Granville Red Line Station,9,0,3,1.0,0,0,0,0,0,1,0,0,1,,0,1,3,1,0,1,0,1
582,2852,-87.65899999999999,41.9836,04/16/16,1119 W Bryn Mawr Ave,Chicago,IL,60660,Bryn Mawr Red Line Station,9,0,3,1.0,0,0,0,0,0,1,0,0,1,,0,1,3,1,0,1,0,1
583,2853,-87.6592,41.99,04/16/16,1118 W Thorndale Ave,Chicago,IL,60660,Thorndale Red Line Station,9,0,3,1.0,0,0,0,0,0,1,0,0,1,,0,1,3,1,0,1,0,1
584,2854,-87.641,41.8858,04/16/16,540 W Lake St,Chicago,IL,60661,Clinton Green and Pink Lines Station,9,0,3,1.0,0,0,0,0,0,1,0,0,1,,0,1,3,1,0,1,0,1
585,2855,-87.79444000000001,41.91917,04/16/16,6801 W Shakespeare Ave,Chicago,IL,60707,Mars,11,0,3,1.0,0,0,0,0,1,0,0,0,0,,0,1,2,1,0,1,0,0
586,2856,-87.81472,41.92472,04/16/16,7600 W Grand Ave,Elmwood,IL,60707,Elmwood Park,11,0,3,1.0,0,0,0,0,1,0,0,0,0,,0,1,2,1,0,1,0,0
587,2857,-87.80167,41.92167,04/16/16,7007 W Medill Ave,Elmwood Park,IL,60707,Mont Clare,11,0,3,0.0,0,0,0,0,1,0,0,0,0,,0,1,1,0,0,1,0,0
588,2858,-87.7444,41.8521,04/16/16,2134 S Cicero Ave,Cicero,IL,60804,Cicero Pink Line Station,9,0,3,1.0,0,0,0,0,0,1,0,0,0,,0,1,2,1,0,1,0,0
589,2859,-87.759,41.8513,04/16/16,2134 S 54th Ave,Cicero,IL,60804,54th/Cermak Pink Line Station,9,0,3,1.0,0,0,0,0,0,1,0,0,0,,0,1,2,1,0,1,0,0
590,2860,-87.66889,41.66222,04/16/16,Burr Oak near Lincoln St,Calumet Park,IL,60827,Burr Oak,11,0,3,1.0,0,0,0,0,1,0,0,0,0,,0,1,2,1,0,1,0,0
591,2861,-87.66064,41.6693,04/16/16,Ashland Ave near 124th St,Calumet Park,IL,60827,Ashland Ave,11,0,3,1.0,0,0,0,0,1,0,0,0,0,,0,1,2,1,0,1,0,0
592,2862,-87.63022,41.63365,04/16/16,144th St & Tracy St,Riverdale,IL,60827,Ivanhoe,11,0,3,0.0,0,0,0,0,1,0,0,0,0,,0,1,1,0,0,1,0,0
